id,type,name,date_of_birth,date_of_death
g.112yf98gm,people.person,Marlene Niemi,1992-08-17,
g.112yg98b7,people.person,Richard Groß,1940-12-30,
g.119pfn432,people.person,Piotr Mroziński,1992-08-24,
g.119pgnsd_,people.person,Sipos F. Tamás,1964-02-23,
g.11_ygs174,people.person,Muhammad Difa Ryansyah,2002-01-25,
g.11b6g4t7dg,people.person,John E. Pommer,1916-02-26,
g.11b6mvrj_6,people.person,Jan Cornell,1914-05-23,
g.11b6phkk6_,people.person,Halina Skoczynska,1953-07-02,
g.11b72w718c,people.person,Lotte Rømer,1950-12-12,
g.11b74qk7zn,people.person,Satoshi Kase,1975,
g.11b778bf4j,people.person,Hak-sun Kim,1971,
g.11b7gsjc57,people.person,Zahra Saeedi,1954-02,
g.11b7hn80f6,people.person,Sara Serraiocco,1990-08-13,
g.11b7lr0j4r,people.person,नूर,1970-10-30,
g.11b7qx5dzb,people.person,Yasuko Mitsuura,1971-05-20,
g.11bbxk75d_,people.deceased_person,Jannik Bjerrum,1909,1992
g.11dyhrqr1,people.person,志村理佳,1992-10-02,
g.11dyhy_gq,people.person,Tomas Boström,1952,
g.11dyj1syf,people.person,Torbjörn Eriksson,1964-03-12,
g.11dyj3ln8,people.deceased_person,Alfhild Larsen,1883-01-30,1974-02-11
g.11dyjj278,people.person,Johan Abraham Gyllenhaal,1750,1788
g.11dyk4w7s,people.person,Meffometou Tcheno,1990-07-01,
g.11dykqr3k,people.deceased_person,Stig Öst,1940-06-26,1966-09-02
g.11dylkp5s,people.deceased_person,Conny Berglind,1960-09-30,1993-01-16
g.11h1t264c,people.person,Horst Stephan,1873,1954
g.11h1t__f9,people.person,Boris Šimkovič,1962-03-06,
g.11h1v5pry,people.person,Herman Van Loo,1945-01-14,
g.11jgf0k2m,people.person,Tianqi Shi,1987-05-05,
g.11r80pbsf,people.person,Jovan Kratohvil,1924-04-17,1998-02-22
g.11vdhf97f,people.person,Carl Kauba,1865,1922
g.11vk5hmbn,people.person,Pornthip Skidjai,1980-04-23,
g.11x7vcnlp,people.person,Kang Yi Suk,1998,
g.11x7vs59q,people.person,Tyler Reed,1988-08-19,
g.1203lvvdr,people.person,Tom Mæland,1976-10-28,
g.120hhwgx,people.person,Zbigniew Kotecki,1952-09-14,
g.120j8jkp,people.person,浅野孝已,1951-06-01,
g.120jql6z,people.person,Felix Handschke,1990-09-17,
g.120jqlk7,people.person,Natascha Petz,1970-04-06,
g.120jqstx,people.person,András Adorján,1944-09-26,
g.120mnmf1,people.person,Adilson Silva,1972,
g.120p50kd,people.person,Erika Billeter,1927-11-08,2011-08-12
g.120p9y2x,people.person,Philip Brooks,1953-07-02,2003-01-05
g.120pgk_q,people.person,Sebastian Diernreiter,1875-06-01,1956-09-05
g.120pt8sc,people.person,Francisco Gaspar,1967-05-07,
g.120svmp_,people.person,Michal Rogalski,1970-02-08,
g.120vb624,people.person,Helga Werner,1946-12-24,
g.120w82wg,people.person,Benno Erhard,1923-02-22,
g.120wqs4h,people.person,Peter Oertling,1937-07-03,
g.120y85fy,people.deceased_person,Zdeněk Wirth,1878,1961
g.120y85vk,people.person,Gudrun Osterburg,1945-09-17,
g.120y8h75,people.person,竜真知子,1951-09-30,
g.120yrd_r,people.person,Leonid Ćorić,1983-04-30,
g.120z1hzl,people.deceased_person,Jaromír Vomácka,1923-03-23,1978-07-07
g.120z6dcq,people.person,Armin Romstedt,1957-01-06,
g.120z6z4g,people.person,Pierre Feuillère,1906,1945
g.12101188,people.person,Margarita Voites,1936-10-30,
g.12135qqh,people.person,Tina Unterberger,1986-04-13,
g.1213_drf,people.person,Aleksandr Smirnov,1909-09-12,1977-07-05
g.1214xpp8,people.person,Larissa Luz,1988,
g.1215c97p,people.person,Pierre Salvi,1957-08-07,
g.1215j54j,people.person,Jürg Brändli,1971-11-16,
g.1215vk7n,people.person,Heinz Josef Dick,1949-10-02,
g.12163_mj,people.person,Chae Je Min,1969-03-06,
g.1216ll61,people.person,Ann Gaytan,1949-08-16,
g.12175xh3,people.person,William Trager,1910-03-20,2005-01-22
g.121873w6,people.person,Akihiro Kakuta,1973-12-13,
g.1218cqq2,people.person,Emmanuelle Rol,1986-08-06,
g.1218dmqg,people.deceased_person,Karen Marie Løwert,1914-01-27,2002-02-11
g.1218l3s8,people.person,Ernst-Wilhelm Stojan,1926-05-13,
g.1218l45r,people.person,Petra Böckelmann,1945-08-05,
g.121_5dfg,people.person,Herbert Pöck,1957-03-08,
g.121_hs6_,people.person,Bruno Rahn,1887-11-24,1927-09-15
