id,type,name,date_of_birth,date_of_death
g.112ygcxvm,people.person,Antonio Regalado,1932-12-02,2012-06-04
g.119pfjwtn,people.person,Sinan Kaynakçı,1979-12-25,
g.11_p4_7qv,people.deceased_person,Isadore Rudnick,1917-05-08,1997-08-22
g.11b60ywy2k,people.person,Szécsényi Ferenc,1922-03-23,
g.11b63vvn_0,people.deceased_person,Marcia Virginia Trimble,1965-03-28,1975-02-25
g.11b6mgv37s,people.deceased_person,Günter Ebert,1925-02-19,2006-07-17
g.11b6t3b9rj,people.deceased_person,Aliman Zhankorozova,1914-12-31,1993-12-29
g.11b6txylws,people.deceased_person,Louis Michel Halbou,1730,1814
g.11b75jml36,people.person,Simone Petilli,1993-05-04,
g.11b76c9vxm,people.person,David Cook,1966,
g.11b76k69sh,people.person,Kenny Garner,1975-01-06,
g.11b7l9b7xk,people.person,Rosemary Standley,1979,
g.11b7lm4sbg,people.person,Carlos Piñar,1945-11-19,
g.11b7qpd2m5,people.person,Severino González,1992-09-28,
g.11b7tv2wgc,people.person,Jon Moscot,1991-08-15,
g.11bxwfkxsj,people.person,Luka Bogdan,1996-03-26,
g.11dy67x8g,people.person,Zakaria Mouafi,1936-02-09,1988-06-02
g.11dyh_l72,people.person,Rasmus Isaksson,1980-08-31,
g.11dyhvgqt,people.person,Rafael Pettersson,1976-12-22,
g.11dyj1t1y,people.person,Ami Aaröe,1925-05-20,
g.11dyjkfc1,people.person,Augustin Kock,1886-04-02,1956
g.11dyjkxy9,people.person,WSZ,1974-02-20,
g.11dyk3ktt,people.deceased_person,Fernanda Coimbra,1903-07-14,1991-10-11
g.11dykvwd6,people.person,Christian Bjelland I,1858,1927
g.11h1sxprh,people.deceased_person,Carl Voß,1897-08-19,
g.11h1v71bh,people.person,Viola Savoy,1899,1987
g.11r7pkp5l,people.person,Pierre Darteuil,1887-07-12,1955-03-21
g.11r_pg0ls,people.person,Jochen Stäblein,1966-12-26,
g.11vj7j1kh,people.person,Tsutomu Ishizuki,1977-01-08,
g.11vjp9n8t,people.person,Peter Kehl,1976-04-23,
g.11x1nhmbw,people.person,Louis Duhayon,1884-05-17,
g.120htjmc,people.person,Richard Farnaby,1594,
g.120jk_bx,people.person,Sakae Umezu,1928-07-05,
g.120ktdkc,people.person,Kathleen Bertko,1983-11-08,
g.120kyyyc,people.person,Valērijs Redjko,1983-03-10,
g.120ld8vf,people.person,Carl-Detlev Freiherr von Hammerstein,1938-01-26,
g.120ldyy1,people.deceased_person,Adherbal Stresser,1908-01-04,1973-10-16
g.120lwks0,people.person,Ruby Grierson,1904,1940-09-18
g.120lwkvn,people.person,Stefan Vurchio,1969-01-09,
g.120n38yt,people.deceased_person,Boris Smirnov,1908-10-26,1982-12-19
g.120p9zl2,people.person,Harumi Sone,1937-09-05,
g.120pgkpj,people.deceased_person,Josef Jaud,1878-08-19,1922-05-16
g.120q2cr2,people.person,Megumi Shiina,1959-08-13,
g.120rsfxl,people.person,Radoslaw Nowakowski,1955,
g.120s1lfk,people.person,Wolfgang Stein,1943-10-21,
g.120s1w9p,people.deceased_person,Anton Reißner,1890-12-30,
g.120s1x4c,people.person,Volker Büdts,1972,
g.120s248p,people.person,Paolo Blundo Canto,1979,
g.120t4c3d,people.person,Heinz Lehner,1950-05-19,
g.120t9h3r,people.deceased_person,Paul Oettly,1890-06-25,1959-03-17
g.120txk48,people.person,Yevgeni Pashin,1960-05-01,
g.120vnb7j,people.person,Sergey Popov,1959-09-20,
g.120xjf81,people.person,Mirosław Jacek Błaszczyk,1959-02-24,
g.120y8knz,people.person,Павел Слободкин,1945-05-09,
g.120yl5rb,people.deceased_person,Antoine Jean-Baptiste Thomas,1791,1833
g.120z1j_t,people.person,Werner Baumhauer,1930-11-12,
g.120z_nr1,people.person,Auvo Vihro,1956-05-10,
g.1210b660,people.person,Marília Barbosa e Nó Em Pingo D'Água,1950-04-21,
g.1210xgt1,people.person,Lusako Karonga,1963,
g.1211qqhw,people.deceased_person,Karel J. Benes,1896-02-21,1969-03-27
g.1211wwr4,people.person,平原まこと,1952-05-02,
g.1213_d9d,people.person,Walter Breda,1948-12-25,
g.1213j2c7,people.person,Gisela Born-Siebicke,1949-03-04,
g.12148hxj,people.person,Peter Gailer,1956-02-06,
g.12148hz8,people.person,Rudolf Roth,1948-09-14,
g.1214f_p6,people.deceased_person,Maria Luisa Righini Bonelli,1917,1981
g.12151k9j,people.person,Jacek Lang,1965-01-16,
g.12156nwn,people.person,Branko Blazina,1916-07-29,1998-07-29
g.1215c8s9,people.person,Dirk Prediger,1987-01-23,
g.1215vg87,people.person,Marià Pidelaserra,1877,1946
g.1217c1m4,people.deceased_person,Adam Struensee,1708-09-08,1791-06-20
g.1217c9qd,people.person,MOE,1986-05-23,
g.1218cqmq,people.person,Claudia Hübner,1948-08-06,
g.121_bxny,people.person,Tessa Rinkes,1986-09-14,
g.121_c3xt,people.deceased_person,Raymond Caillava,1907,1999
g.121_zrcg,people.person,Sandra Ittlinger,1994-06-24,
g.121b6mm0,people.person,Heiko Niere,1966-01-17,
g.121b6my6,people.person,Patrick Bechter,1982-08-02,
g.121bctr8,people.person,Karl-Walter Fritz,1931-12-27,
g.121bk8jy,people.person,中田章,1886-07-08,1931-11-27
g.121c54sh,people.person,Doris Posch,1973-04-01,
