id,type,name,date_of_birth,date_of_death
g.112yff22d,people.person,Bjørn Terje Baarli,1961-10-06,
g.112ygckj1,people.person,Edward Lebler,1958-05-20,
g.119pg6jpw,people.person,Christina Daletska,1984,
g.11b6bfddnq,people.person,Nedret Güvenç,1930-09-05,
g.11b6c8p6tc,people.person,Jazzy King,1990-02-19,
g.11b6dmwd12,people.person,Adam Pajer,1995-05-02,
g.11b6gpx9gz,people.person,Charles Ollivon,1993-05-11,
g.11b6hwspl4,people.person,Adam Stivín,1977-01-18,
g.11b6rc1ptl,people.person,Steven Monse,1990-01-26,
g.11b6x940n7,people.person,Gerson Camata,1941-06-29,
g.11b72qcrx3,people.person,Frédéric Kahn,1966,
g.11b73t5qmj,people.deceased_person,J. Joachim Bartsch,1903-09-13,1965-11-23
g.11b7431k3v,people.person,Daniel Saint-Hamont,1944,
g.11b77bhy9l,people.deceased_person,Rudolf Leuckart,1854-06-23,1889-07-24
g.11b7k1j0w8,people.person,Michael Paliotta,1993-04-16,
g.11bbqygfcp,people.person,Burt Hirschfeld,1923,
g.11bbxm5xyd,people.person,Victor Guajardo,1990-08-30,
g.11bbxpp403,people.person,Brandon Nicholas Salim,1996-09-19,
g.11bxwqplbq,people.person,Josué Currais Prieto,1993-02-27,
g.11bymk9qs_,people.person,Ann-Sophie Schweizer,1970-06-15,
g.11dy69_lp,people.person,Po-Ram Han,1984-02-14,
g.11dyj3zhx,people.person,Ruth Kasdan,1918-10-30,2008-06-11
g.11dyk19_k,people.person,Rikard Bergqvist,1956-09-10,
g.11dyk5vxz,people.person,Valentina Sorokina,1940,
g.11dykwql_,people.person,Lotta Hagerman,1940,
g.11dyl5k7g,people.person,Diana Widoera,1983,
g.11dyltrs6,people.person,Eldin Kozica,1985-01-08,
g.11h1swdfy,people.person,Dan Lestander,1955-04-14,
g.11h1tsmqd,people.deceased_person,Karl Schmaltz,1867,1940
g.11jgf7z1n,people.person,Momona Kitō,1993-08-16,
g.11vjpgrdq,people.person,Andrea Fazekas,1967-08-13,
g.11x1nn_z6,people.person,Lady Lu,1976-05-04,
g.11x1nnf5q,people.person,Georges-Henri Dumont,1920-09-14,
g.11x7vf1_f,people.person,Jasmine Tosky,1994-03-08,
g.11x97ydhs,people.deceased_person,Ermanno Loescher,1831-07-31,1892-11-22
g.120htk63,people.person,Carlo Claudio Camillo Guarmani,1828,1884
g.120htl4c,people.person,にしきのあきら,1948-12-14,
g.120htnzk,people.person,Володимир Данилович Гришко,1960-07-28,
g.120jf3lf,people.person,Hans Kurella,1858,1916
g.120jr7b6,people.person,Tiê,1980-03-17,
g.120kg_nz,people.deceased_person,Herbert Raditschnig,1934-10-26,2006-05-06
g.120knk9b,people.deceased_person,Yevgeniya Kozyreva,1920-10-20,1992-12-06
g.120ky_hq,people.person,Jui Huang,1985-02-27,
g.120l36j_,people.person,Gülsüm Kamu,1943-08-13,
g.120lwhbc,people.deceased_person,Oscar Depuydt,1858,1925
g.120n2w0c,people.person,Josh Elliot,1983-09-19,
g.120nd_kb,people.person,Lukas Flückiger,1984-01-31,
g.120ndxtr,people.person,Eero Erkkilä,1941-01-20,
g.120nf7lr,people.person,Ottó Ádám,1928-10-17,2010-04-09
g.120p5131,people.person,Suraj Singh,1964-05-03,
g.120p541w,people.person,Belô Velloso,1971-08-19,
g.120p9ygh,people.person,Branko Smiljanic,1956-07-13,
g.120spzmv,people.person,Tere,1979,
