id,type,name,date_of_birth,date_of_death
g.112yg20p5,people.person,Cheol-Ho Park,1983-02-28,
g.11_pl5237,people.person,Ilya Vorotnikov,1986-02-01,
g.11b5v3_db9,people.person,Jorge Villalobos Seañez,1978-07-19,
g.11b60vv6ng,people.person,André Gille,1921-10-27,
g.11b6b386gp,people.person,David Roumieu,1981-10-15,
g.11b6f03p46,people.person,田鹿 千華,1965-01-30,
g.11b6ln58lg,people.person,Taiberson,1993-11-18,
g.11b6pq6qy4,people.person,Patrik Auda,1989-08-29,
g.11b76dlftc,people.person,Bert Ostyn,1981,
g.11b7jrk5yj,people.deceased_person,Şehzade Mehmed Burhaneddin Efendi,1885-12-19,1949-06-15
g.11bbxl50k9,people.deceased_person,Josef Danegger,1865-11-15,1933-01-01
g.11bbxpdgc8,people.person,Hawkey Franzén,1946-03-29,
g.11bbxr6z5n,people.person,Lyubov Rumyantseva,1943-04-18,
g.11bc4srftd,people.person,Mhairi Black,1994-09-12,
g.11bxwfhpg9,people.person,Anastasios Donis,1996-08-29,
g.11byqj6j93,people.person,Jean de Gastines,1957,
g.11cftz1c4,people.person,Mikhail Solodko,1967-02-07,
g.11dyjslnv,people.person,Carin Ygberg,1929-03-26,
g.11dyk4q4g,people.deceased_person,Torsten Sörenson,1908-04-25,1992-12-29
g.11dyl1w2x,people.person,Lars-Göran Frisk,1943-03-05,1999-03
g.11h1t6f22,people.deceased_person,Alexander V Beretti,1816,1895
g.11r_pbrm6,people.person,Ciro Berardi,1909-05-11,1961-11-25
g.11vdhbbrj,people.person,Dawid Krzykała,1977-11-11,
g.11vmk151r,people.person,Joseph Guillemot,1899-10-01,1975-03-09
g.120jfd34,people.person,Carlos Malta,1960-02-25,
g.120jr6j1,people.person,Eilev Smedal,1889,1938
g.120kmwbq,people.person,Hana Ulrychová,1949-03-31,
g.120kn3kf,people.deceased_person,Jean Arago,1788,1836
g.120kn4h_,people.person,James Boarman,1919-01-01,1943
g.120lq19v,people.person,Carsten Pump,1976-09-30,
g.120lw81h,people.person,Ulrich Lehmann,1916,
g.120lwxd6,people.person,Daniella Alcarpe,1981-07-02,
g.120m11jx,people.person,Theophil Forchhammer,1847-07-29,1923-08-01
g.120mbrn0,people.deceased_person,Nicole Jonesco,1928-01-13,2008-08-29
g.120phh67,people.person,Peter Kukučka,1982-07-20,
g.120qcs4w,people.person,Ingar Dragset,1968,
g.120qdgbj,people.person,Alexander Frisch,1975-09-12,
g.120rg1ts,people.person,Jan Młodożeniec,1929,2000
g.120rrh8m,people.person,Agnes Günther,1863-07-21,1911-02-16
g.120t41df,people.person,Helmut Brömmelhaus,1927-05-23,2010-02-04
g.120vsvst,people.deceased_person,Georg Finsler,1852-02-22,1916-02-19
g.120wrmzz,people.person,Niccolo' Figari,1988-01-24,
g.120wx7ct,people.deceased_person,Hirotsugu Shinozaki,1902-01-22,1966-08-21
g.120ykzff,people.deceased_person,K-Ximbinho,1917-01-20,1980-06-26
g.120yxbhy,people.person,Jürgen Herrmann,1962-11-30,
g.120z1vp1,people.person,Nathan Pearson,1993,
g.120zjtjq,people.deceased_person,Numeriano Adriano,1846-07-05,1897-01-11
g.1211jnc5,people.person,Przemek Pacan,1980,
g.1212r_q5,people.person,Jess Ørnsbo,1932-08-26,
g.1213h52v,people.person,Horst Wild,1943-10-04,
g.121516hm,people.person,Edith Peter,1958-02-19,
g.121516zy,people.person,Rabah Belamri,1946,
g.12156p0j,people.person,Ervin Syam Ilyas,1973-11-27,
g.1215jdyr,people.person,Louise Basilien,1987-11-04,
g.1218dmvb,people.person,Berend Harms,1939-03-27,
g.121_5q9f,people.person,Joachim Reil,1955-05-17,
g.121bdbwh,people.deceased_person,George Fleming,1833,1901
g.121cb16h,people.person,Wim Kouwenhoven,1923-09-13,2009-06-20
g.121cr_7g,people.person,Adolphe Bérard,1870-08-09,
g.121cr_r1,people.deceased_person,Renée Devillers,1902-10-09,2000-08-05
g.121cxpbc,people.person,Włodzimierz Kempf,1957,
g.121cxphx,people.person,DAIANE MORETTI,1988-03-13,
g.121dvjv8,people.person,Andreas Wiedergut,1988-04-19,
g.121dw6sl,people.person,Arnold Flögl,1885-07-10,
g.121f491f,people.person,Utae Shoji,1929-08-13,
g.121g1wfg,people.person,Richie Ricardo,1960-05-02,
g.121g1x09,people.person,Daisuke Nakayama,1968-01-07,
g.121hf7hf,people.deceased_person,Edy Velander,1894-05-04,1961-11-26
g.121k35c0,people.deceased_person,Mencía Calderón,1514,
g.121kdq58,people.deceased_person,佐々紅華,1886-07-15,1961-01-18
g.121kq6j5,people.deceased_person,Bruce De Palma,1935-10-02,1997
g.121kq736,people.person,Luiz Carlos,1957-02-01,
g.121kwlwg,people.deceased_person,Kyösti Erämaa,1899-10-23,1961-11-14
g.121lyy2w,people.person,Olga Pīrāgs,1956-08-12,
g.121m7vzp,people.deceased_person,Kristian Agricola,1550-12-11,1586-02-19
g.121m8519,people.person,Jean-Pierre Moscardo,1938-02-28,2010-10-20
g.121n95lf,people.person,Andreas Lupzig,1968-08-05,
g.121pkh4j,people.person,Natalie O’Hara,1976-12-17,
