id,type,name,date_of_birth,date_of_death
g.112yfnwtl,people.person,Robert Louis Politzer,1921-03-21,1998-01-26
g.112yftkfp,people.person,Rasmus Gersch,1982-07-12,
g.112ygb2r8,people.person,Alya Nikulina,1937-11-30,
g.119pfjwsp,people.person,Tamiris de Liz,1995-11-18,
g.11_ylvxcc,people.person,Stefano Alessandroni,1972,
g.11b5v7bxn3,people.person,Yeo Reum,1989-06-22,
g.11b60v3mxj,people.person,Yuan Wenkang,1985-07-23,
g.11b6dz771_,people.person,Stanislav Hanzik,1931-07-24,
g.11b6gqdsfs,people.deceased_person,Genrietta Ostrovskaya,1921,1971
g.11b6gr23q7,people.person,Dejan Radic,1984-11-06,
g.11b6r80v1l,people.person,KEIJI,1980-01-21,
g.11b6t1yl77,people.person,Adrián Marín,1997-01-09,
g.11b6tsnzxh,people.person,Jadey Duffield,1991-02-15,
g.11b6wstf56,people.person,Max Corvo,1920,1994
g.11b6x5g5vv,people.person,Trevor Ward-Davies,1944-11-27,
g.11b6x9zcw8,people.person,Ducki Tomek,1982,
g.11b76ggtbf,people.person,Cheol-Ho Park,1960-04-22,
g.11bbswcyrk,people.person,정요숙,1971,
g.11bbxmk7gl,people.person,Lucas-Julian Scholl,1996-07-05,
g.11bxv41r1c,people.person,Đorđe Bašanović,1996-07-31,
g.11dyjdb4n,people.person,Dennis Boskailo,1988-01-05,
g.11dyjjrjq,people.person,Daniel Wallentin,1981,
g.11dyjznns,people.person,Kerstin Matz,1930-12-10,
g.11dyk_nls,people.person,Jean Bardy,1957-03-03,
g.11dykgd54,people.person,Tom Ahlsell,1950-03-16,
g.11r80rnhv,people.person,Wissem Bousnina,1976-01-20,
g.11r_plx1q,people.deceased_person,Martin Trévières,1924-10-10,1992-05-25
g.11vj7h3qv,people.person,Jakob Lindström,1993-06-14,
g.11x7vy0zs,people.person,Carla Vasio,1932,
g.11x985gf8,people.person,Zoltán Barabás Kis,1970-09-04,
g.120_fsjb,people.person,Jürgen Vom Scheidt,1940,
g.120jql9n,people.person,Hartmut Dresia,1954-02-06,
g.120jxcdt,people.person,Tomáš Jamník,1985,
g.120k5wtf,people.person,Zdzisław Janiak,1950-07-14,
g.120ldx4x,people.person,"Sasaji, Masanori",1955-05-03,
g.120mc1q7,people.person,Scipione Bădescu,1847-05-15,1900-10-04
g.120mc59h,people.person,Сергей Кутаев,1972-04-26,
g.120n34_x,people.person,村野 鐵太郎,1929-08-18,
g.120nd_b2,people.deceased_person,ゲノフェーファ・ウェーバー,1764-01-02,1798-03-13
g.120nky8h,people.person,José Gonçalves,1908,1954
g.120p45pg,people.person,Josef Pechtl,1949-10-30,
g.120qdppj,people.person,Wigberto Jiménez Moreno,1909-12-29,1985
g.120qkc62,people.person,Sergio Tréfaut,1965-02-23,
g.120qql02,people.person,Mariusz Kiljan,1970,
g.120qwhg5,people.person,Alev Koral,1931,
g.120scz6l,people.person,Peter Quallo,1971-10-02,
g.120t3rh6,people.person,Eleonore Rudolph,1923-12-12,
g.120vnb4f,people.person,Владимир Лёвкин,1967-06-06,
g.120vt6nt,people.person,Olga Pyzhova,1894-10-29,1972-11-08
g.120wkkgn,people.person,Jacob Wamberg,1961,
g.120wrpxw,people.person,Anders Dahlberg,1960-08-24,
g.120xp9v9,people.person,Leonardo Correia,1975-08-05,
g.120y3c25,people.person,Shegundo Galarza,1924,2003-01
g.120yl8pm,people.person,Thomas Schinko,1969-05-08,
g.120ylh18,people.person,Juan de Barroeta,1835,1906
g.120ylkkl,people.person,鈴木雄大,1959-12-29,
g.120yll12,people.person,Björn Vlasbom,1990-01-28,
g.120yrc63,people.person,Keni Richards,1964,
g.120z1j26,people.person,Troels Holch Povlsen,1949,
g.1210xph0,people.person,Mihran Kirakosian,1985-01-27,
g.12111bz4,people.person,Katja Michalowsky,1974-09-29,
g.1212s0h7,people.person,Nilton Bicudo,1966-08-20,
g.121361cb,people.person,Sebastian Piekarek,1975-09-05,
g.1213hsr0,people.person,Karin Hackl,1989-06-14,
g.1213j039,people.person,Karl-Ove Mannberg,1934-08-29,
g.1213v1p0,people.deceased_person,Fidel Aguilar Marcó,1894,1917
g.1214fcvq,people.person,Günter Kreissl,1974-05-17,
g.1214m5m2,people.deceased_person,Max Schmidt,1874,1950
g.1216ft6n,people.person,Arkadiusz Malczewski,1975-12-08,
g.1216x2jx,people.person,佐藤惣之助,1890-12-03,1942-05-15
g.1217cc8b,people.person,Folmer Rubæk,1940-04-20,
g.1218lcvs,people.person,Nicolas Ponce,1746,1831
g.1219h37d,people.deceased_person,Nobutaka Shikanai,1911-11-17,1990
g.1219h5y_,people.person,Mahmud Imamoglu,1991-01-23,
g.1219xwk5,people.person,Susanne Klein-Vogelbach,1909,
g.121_3wp4,people.person,Igor Sergejewitsch Alexandrow,1973-02-05,
g.121_4hgw,people.person,Pavel Mickal,1984-01-31,
g.121_jlrm,people.person,Kai Nürnberger,1966-06-07,
g.121_znyw,people.person,Patrick Percin,1976-12-18,
g.121b794f,people.person,Sviatoslav Kusnetsov,1930,1992-04-30
g.121bk01v,people.person,Thomas Gansauge,1970-06-04,
g.121bk94_,people.person,Bruni Wildenhein-Lauterbach,1947-02-28,
g.121cb1wk,people.deceased_person,Anitica Butariu,1882-06-17,1997-11-21
g.121fwj1p,people.person,Marc Boettcher,1965-04-12,
g.121g1m58,people.person,Herbert Neubauer,1943-09-02,
g.121g6q7s,people.deceased_person,Ferdinando Nicola Sacco,1891-04-22,1927-08-23
g.121hfk2b,people.person,Adolf Bill,1941-03-28,
g.121hfw67,people.person,Ignatz Anton von Weiser,1701-03-01,1785-12-26
g.121j1qf7,people.person,Timo Ben Schöfer,1964-11-03,
g.121kwcnz,people.person,Hans Deyssenroth,1937-01-29,
g.121l5q_d,people.person,松原秀樹,1961-11-02,
g.121mvvs9,people.person,Jevgēņijs Kazura,1988-01-24,
g.121p7dsq,people.deceased_person,Johan Vising,1855,1942
g.121pkdqb,people.person,Ken Ograjenšek,1991-08-30,
g.121pvx_8,people.person,Pavlina Gorcheva,1938-04-22,
g.121qyrxl,people.person,Kazuyo Mori,1976-06-21,
g.121rcq94,people.deceased_person,Therese Cadorette,1925-05-04,2007-03-13
g.121s45gh,people.deceased_person,Herbert Wunsch,1917-02-23,1970-12-24
g.121t5shn,people.person,Bodek Pezda,1969-10-15,
g.121vlbgb,people.deceased_person,William Lloyd Barry,1916,1999
g.121x_tzt,people.person,Karl Matko,1940-06-10,
g.121xcpqd,people.person,Roy van den Berg,1988-09-08,
g.121yhg04,people.person,Vojislav Micovic,1911-07-14,
g.122090kq,people.person,Bernard Guenée,1927,2010
g.1221538y,people.person,Jacques D'Ovidio,1921,1997
g.12215gyr,people.person,Bernd Rohrbacher,1965-09-15,
g.1223q1gz,people.person,Joseph-Theodor Blank,1947-03-19,
