id,type,name,date_of_birth,date_of_death
g.119pg42rd,people.person,Horst Freiberger,1985-12-28,
g.119pghslv,people.person,Mirko Krajči,1968-02-26,
g.11_pkrhz1,people.deceased_person,Richard Zutt,1849-08-03,1917-06-13
g.11_ylcb7j,people.person,Roger Amalfitano,1955-09-21,
g.11b5v6nlk7,people.person,Chatchu-on Moksri,1999-11-06,
g.11b60vv7ls,people.person,Cihan Yıldız,1995-03-03,
g.11b62wjccm,people.person,Kassiano Soares,1995-04-24,
g.11b6b6kk76,people.person,Ricardo Mariano Bijos Gomes,1986-10-15,
g.11b6phxy35,people.person,奥川雅也,1996-04-14,
g.11b70cj357,people.person,Danae Stratou,1964,
g.11b71srf8c,people.person,Guy Smith,1996-03-08,
g.11b7nxyw9b,people.person,Philipp Grimm,1985-01-27,
g.11bx_fz15b,people.person,João Paulo Azevedo Barbosa,1981-02-12,
g.11cftz1bm,people.person,Mohamed Nouh,1937-01-01,
g.11r7rgm0h,people.person,Pentti Kotkaniemi,1943-08-10,
g.120_rs85,people.person,Antonin Lebas-Joly,1985-10-26,
g.120jfdt1,people.person,Naoya Matsuoka,1937-05-09,
g.120jw_lw,people.person,Petri Johansson,1959-09-06,
g.120k5xtk,people.person,Jure Hafner,1989,
g.120kn3jb,people.person,Hela Besbes,1987-02-28,
g.120kn3mx,people.person,Makare Desilets,1976-06-26,
g.120l2k3d,people.person,Thomas Pielmeier,1987-04-14,
g.120lq92v,people.deceased_person,Louis Sue,1875-07-14,1968-08-07
g.120lw7bk,people.person,Christian Rijavec,1972-04-18,
g.120m0_99,people.person,Haim Blanc,1926-07-25,1984-11-16
g.120m104r,people.person,Edgar Jones,1874-06-17,1958
g.120mhz7r,people.person,Camilla Baresani,1961,
g.120mt5mt,people.person,Gustaw Cybulski,1895-01-22,1931-01-18
g.120n2mmq,people.person,Peter Abstreiter,1980-07-07,
g.120n2mt7,people.person,Verena Dreier,1985-01-15,
g.120p45yh,people.person,Rainer Spaeth,1963-07-08,
g.120ph52m,people.person,Gordon Wolf,1990-01-17,
g.120q2fjv,people.person,Wojciech Żółty,1974-08-17,
g.120qckf5,people.person,José Ortiz Ramos,1911-11-16,2009-12-16
