id,type,name,date_of_birth,date_of_death
g.119pfnx1t,people.deceased_person,Gustav Krüger,1862,1940
g.11b60rql8f,people.person,Haili Sammelselg,1928-03-13,
g.11b6_0hlv1,people.person,Vladimír Marek,1951-08-06,
g.11b6_sfyz5,people.person,정형수,1969,
g.11b6bh_vth,people.person,Carolina Moraes Liu,1968-08-23,
g.11b6c9534_,people.person,Bo Maerten,1992-10-10,
g.11b6ck9_8p,people.person,Osbaldo Lastra,1983-06-12,
g.11b6gny8wy,people.person,רז שמואלי,1991-04-10,
g.11b6ljwn3q,people.person,Gianluca Manunza,1972,
g.11b6s_t1gy,people.person,Ryoha Kitagawa,1998-10-09,
g.11b6xcgqt3,people.deceased_person,Boris Zajcev,1937-03-23,2000-02-24
g.11b76dfp45,people.person,Mario Fucini,1891-02-01,1977-09-01
g.11bbxlq4_p,people.person,Livio Prieto,1981-07-31,
g.11bc4srm4s,people.person,Seema Kennedy,1974,
g.11byjdxnfx,people.person,Ely Dagher,1985-11-25,
g.11byr25_rp,people.person,조혜정,1992-12-22,
g.11dyj4zlc,people.person,Thomas Bergman,1947,
g.11dyj6yq7,people.deceased_person,Carl-Olof Alm,1996-10-17,1996-11-17
g.11dykh15w,people.deceased_person,Axel Leonhard Klinckowström,1775,1837
g.11dykvwd8,people.person,Cornelia,1966-03-09,
g.11dyl86pl,people.person,Frank G. Back,1902,1983
g.11ksgzgqh,people.person,Alfonso Pedroza,1897,
g.11ksh4c7r,people.person,Ana Paula de Tassis,1965,
g.11x97_0gs,people.person,Dennis Skotak,1943-02-15,
g.120_96xk,people.deceased_person,Mårten Stenberger,1898,1973
g.120_fskp,people.person,Karl Mengel,1900-01-18,1975-02-10
g.120htnxl,people.person,Mercan,1981,
g.120kh8mv,people.person,加古 臨王,1980-09-23,
g.120l34ym,people.person,Pål Alexander Kirkevold,1990-10-12,
g.120m0rlk,people.person,Michael Betz,1962-02-19,
g.120mc53h,people.deceased_person,Vadim Beroyev,1937,1972
g.120n2y75,people.deceased_person,Johannes Pohlmann,1901-12-06,1975-03-14
g.120p54hr,people.person,Igor Ivanov,1954-05-19,
g.120pb0d6,people.person,Zbigniew Kryński,1921-03-08,1995-10-11
g.120qkx5k,people.person,Jean Forest,1912-09-27,1980-03-27
g.120rr5wr,people.person,Janette Kliewe,1973-11-30,
g.120s1lbq,people.person,Taner Sahintürk,1978-12-04,
g.120t9v_y,people.person,Karl Grob,1946-05-30,
g.120wr1qm,people.person,Julian Eberhard,1986-11-09,
g.120x5dkf,people.person,Georg Girardet,1942-09-07,
g.120x6jnl,people.person,Erol Amaç,1934,1991
g.120xnyzd,people.deceased_person,Ivaylo Dzhambazov,1959-08-26,2009-05-20
g.120yl5sf,people.deceased_person,Bobby Ray,1899-10-06,1957-03-26
g.120ztyd2,people.person,Benedikt Deigendesch,1985-09-15,
g.12105mn9,people.person,Gilberto Goellner,1947-02-19,
g.1210mcxn,people.person,Hüsnü Can Başer,1949-07-15,
g.12111p08,people.deceased_person,Selmar Bagge,1823-06-30,1896
g.1211qyyl,people.person,Eurico de Melo,1925-09-28,2012
g.1214mks5,people.person,Doãn Nho,1933-08-01,
g.121562wv,people.person,Helga Ziegert,1945-11-21,
g.12156f49,people.person,Volker Graul,1952-06-18,
g.1215pc4c,people.person,Heinrich Höfler,1897-02-16,1963-10-21
g.12175wrp,people.person,Dieter Meichsner,1928,
g.12176dxy,people.person,Teemu Rajamäki,1981-12-07,
g.1217nxjf,people.person,Андрей Мисин,1954-03-03,
g.1218cqlm,people.deceased_person,Bruno Vagedes,1903-09-15,1977-11-18
g.1219sb2l,people.person,Emerson Batagini,1978,
g.121_hscj,people.deceased_person,Franz Iffland,1862,
g.121_j1cw,people.person,山本かおり,1987-10-06,
g.121_zqwy,people.person,Erich Mühe,1938-05-23,2005-11-20
g.121b1rnj,people.person,Petra Huber,1966-02-15,
g.121b6mkf,people.person,Georg Bamberg,1936-01-09,
g.121bk021,people.person,Tom Beetz,1986-12-12,
g.121d1g52,people.deceased_person,Henry Dupuis-Mazuel,1885,1962
g.121dbz__,people.person,Eryk Kaluzinski,1977-06-11,
g.121g6hnv,people.person,Norbert Herr,1944-05-28,
g.121gpfdp,people.person,František Griglák,1953-08-13,
g.121hfvb9,people.person,二階堂有希子,1940-10-27,
g.121hxhp8,people.person,David Szlezak,1974-04-19,
g.121jch8r,people.person,Julie Wiggen,1965-05-23,
g.121lt05h,people.person,Ryszard Dembiński,1934-03-03,1986-01-04
g.121m2fj0,people.person,Emil Froeschels,1884,
g.121n499p,people.person,Akiko Kikuchi,1982-08-26,
g.121p172_,people.person,Hilarion Vassiltchikov,1881,1969
g.121p72ww,people.person,Gottfried Neesse,1911,
g.121qmnc8,people.person,Alois Blaßnig,1963-09-06,
g.121r_8fs,people.person,徳永二男,1946-11-20,
g.121rcpm6,people.deceased_person,Heikki Määttänen,1949-11-21,2002-01-26
g.121rpw4d,people.person,Benjamin Røsler,1989,
g.121tbkw6,people.person,Pierre Martin,1943-09-27,
g.121thx5l,people.deceased_person,Eren Uluergüven,1983,
g.121v79l4,people.person,Barbara Ahrons,1944-09-20,
g.121vx1mc,people.person,Alfons Jochem,1960-11-30,
g.121y02px,people.person,中田 圭,1969-12-09,
g.121y9vq_,people.person,Aleksandra Cotti,1988-12-13,
g.121yh28t,people.person,Johann Michael von Loen,1694,1776
g.121yn5qb,people.person,Edouard Massaux,1920-09-27,
g.121zc4pc,people.person,Herbert Faust,1927-07-18,
g.12215s9h,people.person,Nizar Abou Ajar,1952-05-13,
